TEXT_ADVANCED_ESTAP_SQUADRON,Advanced E-STAP Squadron
TEXT_TOOLTIP_HMP_WEAP2,2x AI Blaster Cannons: 4 / 3.0s / 400m
TEXT_TOOLTIP_HMP_WEAP3,1x Light AI Blaster Cannon: 4 / 2.0s / 400m
TEXT_TOOLTIP_HMP_WEAP4,1x Concussion Missile: 2 / 12.0s / 400m
TEXT_TOOLTIP_HYENA,A twin-headed expansion of the vulture droid intended to operate as a bomber, replacing prior Trade Federation bomber models in that role. Its slightly larger body size resolves several of the vulture droid's endurance issues, making it well suited to engaging enemy capital ships or dogfighting if pressed.
TEXT_TOOLTIP_HYPORI,The sole MagnaGuard survivor of the Battle of Hypori (22 BBY), fought at General Grievous’s side and played a key role in the defeat of Jedi Master Daakman Barrek. Impressed by his performance, Grievous promoted him to captain of the Magnaguards, named him after the battle, and bestowed upon him the sacred Banner of Kalee - a rare mark of trust and respect. Unlike standard MagnaGuards, Hypori’s memory was never wiped, allowing him to develop a volatile personality and adopt the beliefs of the Kaleesh.
TEXT_TOOLTIP_HYPORI_HEALTH,Health: 210 (Hero)
TEXT_TOOLTIP_HYPORI_MOVE,Speed: 1.6
TEXT_TOOLTIP_HYPORI_SWAP1,Refit the Bane of Hypori to accommodate fighter craft. As a trade-off, it will lose 20% of its cannons.
TEXT_TOOLTIP_HYPORI_SWAP2,Refit the Bane of Hypori to increase its cannon count by 20%. As a trade-off, it will lose its hangar bays.
TEXT_TOOLTIP_HYPORI_UPGRADE,Upgrade: Devastation [Only via Grievous Regime]
TEXT_TOOLTIP_HYPORI_WEAP1,Modified Electrostaff: 1 / 1.0s / 1m
TEXT_TOOLTIP_IG104,IG-104 is a MagnaGuard who serves under General Grievous and Captain Hypori. He is regarded as one of the finest MagnaGuard starfighter pilots. Beyond his extensive training in hand-to-hand combat against Jedi, he is also skilled in covert operations, with particular expertise in starfighter dogfights.
TEXT_TOOLTIP_J1_CANNON,An awkwardly mobile, semi-autonomous artillery unit that requires a loading crew or field magazine attachment that is not particularly able to respond to battlefield conditions due to its cumbersome nature. It is notable for being able to operate independently, with or without crew.
TEXT_TOOLTIP_J1_CANNON_COMPANY,Company: 2x J1 Proton Cannon
TEXT_TOOLTIP_J1_CANNON_HEALTH,Health: 50 (Heavy Vehicle)
TEXT_TOOLTIP_J1_CANNON_MOVE,Speed: 0.75 | Turn: 2.0 
TEXT_TOOLTIP_J1_CANNON_WEAP1,1x Heavy Mass Driver Cannon: 1 / 3.0s / 800m
TEXT_TOOLTIP_K2B4,K2-B4 was a T-series military strategic analysis and tactics droid of feminine programming who served the Confederacy of Independent Systems during the time of the Clone Wars. Assigned to the Lola Sayu system, she was placed in command of a Separatist defense fleet. K2-B4 also served as the second-in-command of Phindian Commandant Osi Sobeck, who headed the Confederacy's Citadel prison on the planet Lola Sayu.
TEXT_TOOLTIP_L_FACTORY_CIS_1,Single Trooper Aerial Platform: 3 / 6
TEXT_TOOLTIP_L_FACTORY_CIS_3,OG-9 Homing Spider Droid: 3 / 6
TEXT_TOOLTIP_LUCREHULK_DCS_SUPPORT,Droid Control Ship: 6% Combat bonus for all fighters
TEXT_TOOLTIP_LUCREHULK_DCS_TENDER,Fighter Tender: 2 / 1.0s / 13.7km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP,Lucrehulk conversion that uses interior space normally reserved for complements/cargo for extra reactors, shield generators and bracing. Mounts a significant amount of turbolasers as a result, while maintaining a dangerous defensive laser grid. Compared to battle carriers it is much better at ship to ship combat but loses out in sheer fighter presence.
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_HULL,Hull: 26000 (Capital)
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_MOVE,Speed: 2.1 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_SHIELD,Shields: 30000 / [75/R] (Capital)
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_SQUADRON,Fighters: 3 / 10 | Bombers: 1 / 4
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP1,3x Heavy Turbolasers: 2 / 1.03s / 7.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP2,28x Medium Turbolasers: 2 / 1.0s / 6.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP3,40x Medium Quad Laser Cannons: 2 / 0.5s / 4.6km
TEXT_TOOLTIP_LUCREHULKCONTROL,Wartime configuration Lucrehulk that retains the same large carrying capacity of fighters as the converted freighters. Control Ships provide a variety of support functions now that Central Control Computers are no longer in use, but the extra equipment reduces the vessel's shielding.
TEXT_TOOLTIP_LUCREHULKCONTROL_SHIELD,Shields: 22000 / [55/R] (Capital)
TEXT_TOOLTIP_MAF,The Haor Chall designed Mechanized Assault Flyer fulfils close air support and light transport duties. Significantly bulkier than the later HMP, with armament more comparable to the Republic LAAT-series.
TEXT_TOOLTIP_MAF_COMPANY,Company: 1x MAF Gunship
TEXT_TOOLTIP_MAF_HEALTH,Health: 350 (Heavy Speeder)
TEXT_TOOLTIP_MAF_MOVE,Speed: 4.0 | Turn: 4.0
TEXT_TOOLTIP_MAF_WEAP1,2x Heavy AV Blaster Cannon: 2 / 3.0s / 400m
TEXT_TOOLTIP_MAF_WEAP2,1x Light AV Blaster Cannon: 4 / 2.0s / 400m
TEXT_TOOLTIP_MAF_WEAP3,2x AI Beam Cannons: 20 / 5.0s / 240m
TEXT_TOOLTIP_MAF_WEAP4,1x Proton Missile: 1 / 10.0s / 400m
TEXT_TOOLTIP_MAGNAGUARD, A deadly droid model used to escort high-ranking VIP's in combat zones or serve as shock troopers in close-combat situations. Trained in assorted forms of melee combat on top of sophisticated programming, they are exceptionally deadly.
TEXT_TOOLTIP_MAGNAGUARD_COMPANY,Company: 3x Magnaguard
TEXT_TOOLTIP_MAGNAGUARD_HEALTH,Health: 200 (Hero)
TEXT_TOOLTIP_MAGNAGUARD_MOVE,Speed: 1.2 
TEXT_TOOLTIP_MAGNAGUARD_WEAP1,1x Electrostaff: 1 / 1.0s / 1m
TEXT_TOOLTIP_MAGNATRI,Another Techno Union contribution, the Magna is a large variant of the Octuptarra walker, or Tri-Droid. This colossal walker is heavily armed and armored, although not the most nimble due to its leg configuration.
TEXT_TOOLTIP_MAGNATRI_COMPANY,Company: 2x Magna Octuptarra Droid
TEXT_TOOLTIP_MAGNATRI_HEALTH,Health: 300 (Heavy Vehicle)
TEXT_TOOLTIP_MAGNATRI_MOVE,Speed: 0.5 | Turn: 2.0 
TEXT_TOOLTIP_MAGNATRI_WEAP1,1x Super Heavy AV Blaster Cannon: 3 / 2.0s / 400m
TEXT_TOOLTIP_MASSIFF_HEALTH,Health: 235 (Hero)
TEXT_TOOLTIP_MASSIFF_MOVE,Speed: 1.6
TEXT_TOOLTIP_MTM,A variant of the Trade Federation’s MTT that, instead of carrying battle droid troops, transports bacta supplies and droid replacement parts. It serves as a heavily armored mobile field hospital during ground battles.
TEXT_TOOLTIP_MTM_COMPANY,Company: 1x Multi-Troop Medic
TEXT_TOOLTIP_MTT,The Multi-Troop Transport is a ponderous and heavily armored transport vehicle. Though only lightly armed, the MTT can carry 112 battle droids through a battlefield and rapidly deploy them via a hydraulic rack.
TEXT_TOOLTIP_MTT_CARGO,A version of the Multi-Troop Transport used for supply lines. Its inner droid racks have been gutted, instead using the space to transport massive loads of cargo within its bulky frame.
TEXT_TOOLTIP_MTT_CARGO_COMPANY,Company: 1x Cargo Multi-Troop Transport
TEXT_TOOLTIP_MTT_COMPANY,Company: 1x Multi-Troop Transport
TEXT_TOOLTIP_MTT_DEPLOY,Deploys: 1x B1 Battle Droid Assault Squad
TEXT_TOOLTIP_MTT_HEALTH,Health: 900 (Heavy Vehicle)
TEXT_TOOLTIP_MTT_MOVE,Speed: 0.75 | Turn: 1.0 
TEXT_TOOLTIP_MTT_WEAP1,2x Heavy AI Blaster Cannons: 4 / 1.0s / 320m
TEXT_TOOLTIP_MUNIFEX,Also known as the "Class 1000" for setting the modern KDY production batch size. A fragile but over-gunned frigate produced for the Trade Defence Force two centuries before the Clone Wars. Intended to eliminate similar-sized vessels while also being plentiful enough to mass-attack larger cruisers.
TEXT_TOOLTIP_MUNIFEX_HULL,Hull: 900 (Frigate)
TEXT_TOOLTIP_MUNIFEX_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.3
TEXT_TOOLTIP_MUNIFEX_SHIELD,Shields: 900 / [13.5/R] (Frigate)
TEXT_TOOLTIP_MUNIFEX_SQUADRON,Fighters: 0.5 / 0.5
TEXT_TOOLTIP_MUNIFEX_WEAP1,2x Light Turbolasers: 2 / 0.71s / 5.1km
TEXT_TOOLTIP_MUNIFEX_WEAP2,2x Light Ion Cannons: 2 / 1.67s / 5.1km
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER,Larger, more armoured configuration of the Munificent geared to fighting vessels in its peer range. Features more concentrated heavy weaponry and improved anti-fighter coverage at the cost of light antiship guns, along with a significant boost in overall durability. Somewhat unpopular at the onset of the Clone Wars, but saw more use in desperate late-war actions as numbers of Separatist destroyers dwindled.
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_HULL,Hull: 3150 (Heavy Frigate)
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_MOVE,Speed: 4.55 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_SHIELD,Shields: 2800 / [42/R] (Heavy Frigate)
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_SQUADRON,Fighters: 0.5 / 4.5 [Requires research]
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_SQUADRON_HERO,Fighters: 0.5 / 4.5
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_WEAP1,2x Ultraheavy Turbolasers: 1 / 5.0s / 8.2km
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_WEAP2,2x Heavy Turbolasers: 2 / 5.0s / 7.2km
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_WEAP3,4x Light Dual Turbolasers: 2 / 1.54s / 5.2km
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_WEAP4,3x Heavy Dual Ion Cannons: 1 / 5.0s / 7.2km
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_WEAP5,2x Light Dual Ion Cannons: 2 / 5.0s / 5.2km
TEXT_TOOLTIP_MUNIFICENT_HEAVY_CRUISER_WEAP6,4x Light Dual Laser Cannons: 2 / 0.5s / 3.7km
TEXT_TOOLTIP_OFFICE_CIS_1,B1 Security Battle Droid Squad: 3 / 6
TEXT_TOOLTIP_OFFICE_CIS_2,Single Trooper Aerial Platform: 4 / 8
TEXT_TOOLTIP_OFFICE_CIS_4,Crab Droid Squad: 1 / 3
TEXT_TOOLTIP_OFFICE_CIS_5,Persuader Droid Enforcer: 1 / 2
TEXT_TOOLTIP_OFFICE_CIS_6,OG-9 Homing Spider Droid: 1 / 2
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID,A Baktoid-developed droid meant to enforce Commerce Guild whims, its body is little more than a reactor with armor plating and legs. Both anti-infantry and anti-vehicle weapons make this walker a versatile combatant.
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_COMPANY,Company: 4x OG-9 Homing Spider Droid
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_HEALTH,Health: 150 (Light Vehicle)
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_MOVE,Speed: 1.25 | Turn: 4.0
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_WEAP1,1x AV Beam Cannon: 12 / 1.5s / 320m
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_WEAP2,1x Heavy AI Blaster Cannon (AOE): 1 / 0.5s / 240m
TEXT_TOOLTIP_PAC,No-frills ground transport adapted from the design of a commercial repulsorlift sled. Less protected than the larger MTT but faster and more suited to bulk transport.
TEXT_TOOLTIP_PAC_COMPANY,Company: 4x Platoon Attack Craft
TEXT_TOOLTIP_PAC_HEALTH,Health: 150 (Light Vehicle)
TEXT_TOOLTIP_PAC_MOVE,Speed: 2.0 | Turn: 1.0 
TEXT_TOOLTIP_PAC_WEAP1,2x Light AI Blaster Cannons: 4 / 1.5s / 240m
TEXT_TOOLTIP_PORAX,The Porax-38 Starfighter, crafted on Utapau for the Confederacy, this distinctive fighter with its curved wings was the preferred craft of General Grievous’ MagnaGuards, feared for their ruthless skill in battle despite the Porax’s exposed cockpit.
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT,An up-scaled version of a carrier/destroyer Providence used as a flagship in fleet actions or as a contender to larger Republic vessels. It retains a similar armament and role but is progressively more powerful than its smaller sibling.
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_MOVE,Speed: 2.8 | Accel: 0.125 | Turn: 0.2
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_SHIELD,Shields: 9200 / [90/R] (Capital)
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_SQUADRON,Fighters: 3 / 10 | Bombers: 3 / 10
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP1,1x Ultraheavy Ion Cannon Battery: 2 / 4.0s / 8.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP2,2x Assault Concussion Missile: 6 / 9.0s / 7.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP3,3x Proton Torpedo Launcher: 6 / 9.0s / 6.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP4,4x Medium Triple Ion Cannon Battery: 2 / 2.0s / 6.6km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP5,4x Heavy Quad Turbolaser Battery: 2 / 3.4s / 7.8km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP6,10x Light Quad Turbolaser Battery: 2 / 2.0s / 6.3km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP7,2x Medium Quad Lasercannon: 2 / 1.6s / 3.4km
TEXT_TOOLTIP_PROVIDENCE_HERO_HULL,Hull: 3600 (Heavy Frigate)
TEXT_TOOLTIP_PROVIDENCE_HERO_MOVE,Speed: 3.0 | Accel: 0.04 | Turn: 0.4
TEXT_TOOLTIP_PROVIDENCE_HERO_SHIELD,Shields: 3500 / [43.75/R] (Heavy Frigate)
TEXT_TOOLTIP_PROVIDENCE_HERO_SQUADRON,Fighters: 2 / 5 | Bombers: 2 / 6
TEXT_TOOLTIP_PROVIDENCE_HERO_WEAP1,4x Light Quad Turbolasers: 2 / 2.86s / 5.2km
TEXT_TOOLTIP_PROVIDENCE_HERO_WEAP2,1x Heavy Ion Cannon: 2 / 5.0s / 7.2km
TEXT_TOOLTIP_PROVIDENCE_HERO_WEAP3,2x Light Anti-Fighter Ion Cannons: 2 / 1.67s / 3.2km
TEXT_TOOLTIP_PROVIDENCE_HERO_WEAP4,3x Light Dual Laser Cannons: 2 / 0.44s / 3.7km
TEXT_TOOLTIP_PROVIDENCE_HERO_WEAP5,4x Light Proton Torpedoes: 4 / 8.0s / 5.2km
TEXT_TOOLTIP_PROVIDENCE_HERO_WEAP6,2x Mass Drivers: 2 / 1.67s / 7.2km
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT,A rare, up-sized version of a Recusant used as a flagship or planetary assault platform. While larger than its counterpart, it is still comparatively fragile, but it is equipped with even more weaponry for long-range support.
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_HULL,Hull: 4956 (Heavy Frigate)
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_MOVE,Speed: 3.15 | Accel: 0.15 | Turn: 0.2
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_SHIELD,Shields: 6200 / [62/R] (Heavy Frigate)
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_SQUADRON,Fighters: 1 / 2
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_WEAP1,1x Ultraheavy Turbolaser: 1 / 5.0s / 8.5km
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_WEAP2,5x Heavy Dual Turbolasers: 2 / 5.0s / 7.5km
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_WEAP3,1x Heavy Turbolaser: 2 / 2.5s / 7.5km
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_WEAP4,2x Light Dual Turbolasers: 2 / 0.67s / 5.5km
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_WEAP5,6x Medium Dual Laser Cannons: 2 / 0.5s / 4.5km
TEXT_TOOLTIP_RECUSANT_DREADNOUGHT_WEAP6,2x Light Dual Laser Cannons: 2 / 0.42s / 4.0km
TEXT_TOOLTIP_RESEARCH_CISSC,Research Facility: Allows Research.
TEXT_TOOLTIP_RESEARCH_CISSC_PRODUCTIONBOOST,Prodcution speed and cost will be greatly reduced, due to optimized management of ressources.
TEXT_TOOLTIP_S_B2_RESEARCH,Newer models of the B2 will be constructed with portable shield generators for increased durability.
TEXT_TOOLTIP_S_VULTURES_RESEARCH,Vulture Droids will be refitted with light weight shield generators, increasing survivability without performance loss.
TEXT_TOOLTIP_SHIP_SWAP,Modify this Heroes Ship
TEXT_TOOLTIP_SHIPYARD_CIS_1_1,Vulture Droid Squadron: 2 / ∞
TEXT_TOOLTIP_SHIPYARD_CIS_1_2,Tri-Fighter Squadron: 1 / 2
TEXT_TOOLTIP_SHIPYARD_CIS_1_3,Hyena Bomber Squadron: 2 / 4
TEXT_TOOLTIP_SHIPYARD_CIS_1_4,Diamond Cruiser: 1 / 1
TEXT_TOOLTIP_SHIPYARD_CIS_1_5,Hardcell Missile Ship: 2 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_1_6,Munifex Light Cruiser: 2 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_2_1,Vulture Droid Squadron: 2 / ∞
TEXT_TOOLTIP_SHIPYARD_CIS_2_2,Tri-Fighter Squadron: 1 / 2
TEXT_TOOLTIP_SHIPYARD_CIS_2_3,Hyena Bomber Squadron: 2 / 4
TEXT_TOOLTIP_SHIPYARD_CIS_2_4,Diamond Cruiser: 1 / 2
TEXT_TOOLTIP_SHIPYARD_CIS_2_5,Munifex Light Cruiser: 3 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_2_6,Hardcell Missile Ship: 1 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_2_7,Munificent Star Frigate: 1 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_3_1,Vulture Droid Squadron: 3 / ∞
TEXT_TOOLTIP_SHIPYARD_CIS_3_2,Tri-Fighter Squadron: 1 / 2
TEXT_TOOLTIP_SHIPYARD_CIS_3_3,Hyena Bomber Squadron: 3 / 6
TEXT_TOOLTIP_SHIPYARD_CIS_3_4,Diamond Cruiser: 1 / 2
TEXT_TOOLTIP_SHIPYARD_CIS_3_5,Hardcell Missile Ship: 1 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_3_6,Munificent Star Frigate: 2 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_3_7,Captor Heavy Munitions Carrier: 3 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_4_1,Vulture Droid Squadron: 3 / ∞
TEXT_TOOLTIP_SHIPYARD_CIS_4_10,Lucrehulk Carrier: 1 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_4_2,Tri-Fighter Squadron: 2 / 4
TEXT_TOOLTIP_SHIPYARD_CIS_4_3,Hyena Bomber Squadron: 4 / 8
TEXT_TOOLTIP_SHIPYARD_CIS_4_4,Diamond Cruiser: 2 / 3
TEXT_TOOLTIP_SHIPYARD_CIS_4_5,Hardcell Missile Ship: 3 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_4_6,Munifex Light Cruiser: 2 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_4_7,Munificent Star Frigate: 2 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_4_8,Captor Heavy Munitions Carrier: 2 / 0
TEXT_TOOLTIP_SHIPYARD_CIS_4_9,Providence Carrier/Destroyer: 1 / 0
TEXT_TOOLTIP_SHIPYARD_CISSC_10,Munificent Heavy Cruiser: 2 / 4
TEXT_TOOLTIP_SHIPYARD_CISSC_11,Providence Dreadnought: 1 / 1
TEXT_TOOLTIP_SHIPYARD_CISSC_4,Porax Fighter Squadron: 2 / 0
TEXT_TOOLTIP_STAP,A fast scouting unit that serves as an alternate to speeder or swoop bikes. It was designed similarly to personal repulsorlift airhooks but with a thruster configuration that prevents use by organic riders. Stock models are relatively fragile and lightly armed with upgraded versions being rare. It is suited to light anti-infantry duties and reconnaissance.
TEXT_TOOLTIP_STAP_COMPANY,Company: 8x Single Trooper Aerial Platform
TEXT_TOOLTIP_STAP_HEALTH,Health: 25 (Speeder)
TEXT_TOOLTIP_STAP_MOVE,Speed: 6.0 | Turn: 8.0 
TEXT_TOOLTIP_STAP_WEAP1,1x Light AI Blaster Cannon: 6 / 1.0s / 200m
TEXT_TOOLTIP_SUBJUGATOR,A powerful battleship based around a specific heavy weapon. It was designed during the Clone Wars and is one of the largest vessels to come out of CIS shipyards. It is able to threaten entire battle groups by itself. Vessels of this class are typically armed with broadside Ion Pulse cannons though other configurations exist. It is well suited to engaging the largest enemy capital ships.
TEXT_TOOLTIP_SUBJUGATOR_HULL,Hull: 26432 (Capital)
TEXT_TOOLTIP_SUBJUGATOR_HULL_HERO,Hull: 27328 (Capital)
TEXT_TOOLTIP_SUBJUGATOR_HULL_HFM,Hull: 25984 (Capital)
TEXT_TOOLTIP_SUBJUGATOR_MOVE,Speed: 2.45 | Accel: 0.125 | Turn: 0.2
TEXT_TOOLTIP_SUBJUGATOR_SHIELD,Shields: 25000 / [62.5/R] (Capital)
TEXT_TOOLTIP_SUBJUGATOR_SQUADRON,Fighters: 1 / 4 | Bombers: 1 / 2
TEXT_TOOLTIP_SUBJUGATOR_WEAP1,2x Super Ion Cannons: 1 / 30.0s / 8.0km
TEXT_TOOLTIP_SUBJUGATOR_WEAP2,5x Medium Turbolasers: 2 / 2.17s / 7.0km
TEXT_TOOLTIP_SUBJUGATOR_WEAP3,44x Light Dual Turbolasers: 2 / 1.0s / 6.0km
TEXT_TOOLTIP_SUBJUGATOR_WEAP4,3x Light Laser Cannons: 2 / 0.5s / 4.5km
TEXT_TOOLTIP_SUBJUGATOR_WEAP5A,2x Assault Concussion Missiles: 3 / 15.0s / 8.0km
TEXT_TOOLTIP_SUBJUGATOR_WEAP5B,2x Proton Torpedoes: 3 / 15.0s / 6.0km
TEXT_TOOLTIP_SUPER_TANK,Combination assault vehicle and missile artillery known for rather impressive durability. The aptly named "Super Tank" packs MTT thickness armor and an impressive shielding system into the frame of a heavy tank, at the cost of logistical strain and overburdened repulsorlifts. Can engage targets as an artillery piece from range or a frontline assault tank depending on the current tactical situation, being individually effective at both, but not to the degree of groups of more dedicated assets.
TEXT_TOOLTIP_SUPER_TANK_COMPANY,1x Super Tank
TEXT_TOOLTIP_SUPER_TANK_HEALTH,Health: 400 (Heavy Vehicle)
TEXT_TOOLTIP_SUPER_TANK_MOVE,Speed: 0.5 | Turn: 2.0 
TEXT_TOOLTIP_SUPER_TANK_SHIELD,Shields: 250 / [10/R] (Heavy Vehicle)
TEXT_TOOLTIP_SUPER_TANK_WEAP1,2x AV Blaster Cannons: 2 / 2.0s / 400m
TEXT_TOOLTIP_SUPER_TANK_WEAP2,2x Light AI Blaster Cannons: 2 / 1.0s / 320m
TEXT_TOOLTIP_SUPER_TANK_WEAP3,1x Heavy Proton Missile: 2 / 7.41s / 1440m
TEXT_TOOLTIP_TRIFIGHTER,A compact, Colicoid designed droid fighter built around a reactor and advanced droid brain. It is fast, powerful, and agile but costly enough to not be deployed in as great numbers as vultures and their derivatives. It is very well suited to dogfighting and intercepting bombers.
TEXT_TOOLTIP_UNITS_CISSC,Lucrehulk Goliath: Allows unit construction.
TEXT_TOOLTIP_XANADU_BLOOD_HULL,Health: 250 (Fighter)
TEXT_TOOLTIP_XANADU_BLOOD_SHIELD,Shields: 170 / [22/R] (Fighter)
TEXT_TRIFIGHTER_SQUADRON,Tri-fighter Squadron
TEXT_TRIFIGHTER_SQUADRON_HALF,Tri-fighter Squadron 1/2
TEXT_TRIFIGHTER_SQUADRON2,Tri-fighter Squadron x2
TEXT_UNIT_ADVANCED_ESTAP,Advanced E-STAP
TEXT_UNIT_B3,B3 Ultra Battle Droid
TEXT_UNIT_BX_COMMANDO,BX Commando Droid
TEXT_UNIT_BX_COMMANDO_AT_LIGHT,BX Commando Droid Light AT
TEXT_UNIT_BX_COMMANDO_GRENADIER,BX Commando Droid Grenadier
TEXT_UNIT_BX_COMMANDO_GUNNER,BX Commando Droid Gunner
TEXT_UNIT_BX_COMMANDO_OFFICER,BX Commando Droid Officer
TEXT_UNIT_BX_COMMANDO_SNIPER,BX Commando Droid Sniper
TEXT_UNIT_C9979,C-9979 Carrier
TEXT_UNIT_CB3,C-B3 Cortosis Battle Droid
TEXT_UNIT_COYOTE_BOMBER,Coyote Advanced Droid Bomber
TEXT_UNIT_CRAB_DROID,Crab Droid
TEXT_UNIT_DEFOLIATOR,Defoliator Deployment Tank
TEXT_UNIT_DH_OMNI,DH-Omni Support Vessel
TEXT_UNIT_DIAMOND,Diamond Cruiser
TEXT_UNIT_EG_BX_COMMANDO,Elite Guard BX Commando Droid
TEXT_UNIT_EG_BX_COMMANDO_OFFICER,Elite Guard BX Commando Droid Officer
TEXT_UNIT_HAG,HAG-M
TEXT_UNIT_HAML,Heavy Armored Missile Launcher
TEXT_UNIT_HAML_COMPANY,HAML Company
TEXT_UNIT_HARDCELL,Hardcell Missile Ship
TEXT_UNIT_HMP,Heavy Missile Platform Gunship
TEXT_UNIT_HMP_COMPANY,HMP Gunship Company
TEXT_UNIT_HYENA_DROID,Hyena Droid Bomber
TEXT_UNIT_IG104,IG-104
TEXT_UNIT_J1_CANNON,J-1 Proton Cannon
TEXT_UNIT_J1_CANNON_COMPANY,J-1 Proton Cannon Company
TEXT_UNIT_LUCREHULKBATTLESHIP,Lucrehulk Battleship
TEXT_UNIT_LUCREHULKCONTROL,Lucrehulk Control Carrier
TEXT_UNIT_MAF,MAF Gunship
TEXT_UNIT_MAGNAGUARD,Magnaguard
TEXT_UNIT_MAGNATRI,Magna Octuptarra Droid
TEXT_UNIT_MAGNATRI_COMPANY,Magna Octuptarra Droid Company
TEXT_UNIT_MTM,Multi-Troop Medic
TEXT_UNIT_MTT,Multi-Troop Transport
TEXT_UNIT_MUNIFEX,Munifex Light Cruiser
TEXT_UNIT_MUNIFICENT_HEAVY_CRUISER,Munificent Heavy Cruiser
TEXT_UNIT_OG9_COMPANY,OG-9 Homing Spider Droid Company
TEXT_UNIT_OG9HOMINGSPIDERDROID,OG-9 Homing Spider Droid
TEXT_UNIT_PAC,Platoon Attack Craft
TEXT_UNIT_PAC_COMPANY,Platoon Attack Craft Company
TEXT_UNIT_PORAX,Porax-38 Starfighter
TEXT_UNIT_PROVIDENCE_DREADNOUGHT,Providence Dreadnought
TEXT_UNIT_RECUSANT_DREADNOUGHT,Recusant Dreadnought
TEXT_UNIT_RESEARCH_CISSC_PRODUCTIONBOOST,Optimize Production Process
TEXT_UNIT_S_B2_RESEARCH,Shielded B2 Droids
TEXT_UNIT_S_VULTURES_RESEARCH,Shielded Vulture Droid
TEXT_UNIT_STAP,Single Trooper Aerial Platform
TEXT_UNIT_STAP_COMPANY,STAP Company
TEXT_UNIT_SUBJUGATOR,Subjugator Heavy Cruiser
TEXT_UNIT_SUPER_TANK,Super Tank
TEXT_UNIT_TRIFIGHTER,Droid Tri-Fighter
TEXT_UNIT_VULTURE_DROID,Vulture Droid Mark 1
